sya, saya
kahwin, menikah
letak, diletakkan
dah, sudah
crown, mahkota
/, atau
tension, tegangan
timpuk, lempar
pake, memakai
high heels, hak tinggi
kagumi, mengagumi
dr, dari
krn, karena
km, kamu
takkan, tidak akan
bs, bisa
terimakasi, terima kasih
awak, kamu
je, saja
slalu, selalu
nak, akan
khabar, kabar
dah, sudah
udah, sudah
tau, tahu
cm, cuma
makasih, terima kasih
ga, tidak
bakal, akan
aja, saja
buat, untuk
gajian, gaji
mulu, terus
bosen, bosan
gue, saya
lo, kamu
bagusan, lebih bagus
kayak, seperti
dikeritingin, dibuat keriting
kalo, kalau
cakep, tampan
tuk, untuk
mood, suasana hati
malem, malam
nggak, tidak
lo, kamu
maenan, mainan
males, malas
temen, teman
banget, sangat
adoh, aduh
gx, tidak
jaman, ketika
udeh, sudah
temen, teman
kebawa, terbawa
ampe, sampai
gini, seperti ini
ngetwit, bicara
ble, boleh
syg, sayang
dh, sudah
xpdlikn, tidak memedulikan
dg, dengan
dri, dari
sendang, sedang
mencuba, mencoba
cuba, coba
bknlah, bukanlah
sprti, seperti
mudah2n, mudah-mudahan
amien, amin
manada, tidak ada
kan, akan
motto, moto
tp, tapi
utk, untuk
dairpada, daripada
balikan, kembali
org, orang
dgn, dengan
hunbungan, hubungan
gak, tidak
entrepreneurship, bisnis
liat, melihat
mending, lebih baik
gimana, bagaimana
mrka, mereka
sebaik2nya, sebaikbaiknya
dlm, dalam
jd, jadi
pd, pada
sbb, sebab
melayan, melayani
kerana, karena
menta, mental
bgt, sangat
trus, terus
ngapain, untuk apa
single, tunggal
topup, kenaikan
special, spesial
limited edition, edisi terbatas
intropeksi, introspeksi
mahu, homo
kmu, kamu
mmbantu, membantu
masalh, masalah
banya, banyak
sbelah, sebelah
llaki, lelaki
akn, akan
brasa, merasa
ddk, duduk
mnutup, menutup
sampe, sampai
gak, tidak
walaupon, walaupun
bermasala, bermasalah
lam, lama
aunt, bibi
may, mungkin
tp, tapi
make up, alat kecantikan
shabu, narkoba
liat, lihat
kebanyakkan, kebanyakan
mlm, malam
%, persen
klien, pelanggan
pelay, pelayanan
moment, kenangan
bhs., bahasa
bhs, bahasa
slalu, selalu
dpt, dapat
button, tombol
pause, tahan
play, berputar
ianya, hanya
stop, berhenti
ngeluh, mengeluh
bener2, sungguh
pengen, ingin
mapel, pelajaran
jgn, jangan
kurniaanmu, karuniamu
nampak, tampak
klo, kalau
syg, sayang
tp, tapi
skalipun, sekalipun
tajir, kaya
karna, karena
suda, sudah
lag, lagi
nga, tidak
yuk, ayo
bahagi, bagi
adl, adalah
trs, terus
smakin, semakin
berserban, bersorban
syurga, surga
terimakasi, terima kasih
